season,rank,id,name,card_type,copies,base_fame,bonus_value,bonus_condition_text,banner_text,body_text,icon_notes,uncertainty,source_image,read_by
1,0,snail,Snail,starter,1,2,,,,,,,Season 1 - Starters.jpeg,coordinator
1,0,caterpillar,Caterpillar,starter,2,0,,,COSTS 3 TO DISMISS INSTEAD OF 5,,,,Season 1 - Starters.jpeg,coordinator
1,0,dragonfly,Dragonfly,starter,1,0,+1,PER unique adjacent face-up card,,,plus-shaped grid icon center=self,"Ruled directly by user (2026-08-15): ""unique"" = distinct names among orthogonally-adjacent cards.",Season 1 - Starters.jpeg,coordinator
1,0,skunk,Skunk,starter,1,0,,,,"IF you have the least fame after the Check Fame phase, dismiss a card in your grid",,rulespal.com FAQ: 'The skunk's ability can be used to dismiss itself. This ability is mandatory and does not cost an action.' Also confirms tie -> no effect.,Season 1 - Starters.jpeg,coordinator+Season 1 rulebook FAQ (rulespal.com transcription)
1,0,bee,Bee,starter,1,1,,,,,,,Season 1 - Starters.jpeg,coordinator
2,0,grasshopper,Grasshopper,starter,1,1,+1,PER card above this card,,,stack-position icon (up arrow over mini grid),,Season 2 - Starters.jpeg,coordinator
2,0,mosquito,Mosquito,starter,2,0,,,,,,,Season 2 - Starters.jpeg,coordinator
2,0,ladybug,Ladybug,starter,1,1,,,ADJACENT CARDS COST 3 INSTEAD OF 5 TO DISMISS,,4-directional adjacency icon,,Season 2 - Starters.jpeg,coordinator
2,0,spider,Spider,starter,1,1,+1,PER card below this card,,,stack-position icon (down arrow under mini grid),,Season 2 - Starters.jpeg,coordinator
2,0,firefly,Firefly,starter,1,1,,,,"IF you have the least fame after the Check Fame phase, gain 2",,,Season 2 - Starters.jpeg,coordinator
1,1,ostrich,Ostrich,market,3,1,,,,Stack the next revealed card on this card,,"rulespal.com FAQ: 'If an ostrich is placed as the final card of a player's grid, do not reveal or place another card. The next revealed card is stacked before its ability is resolved.' Reconcile the 'do not reveal another card' clause against the base ability before encoding - looks like an edge-case override for when Ostrich itself fills the last slot, not a general stop-reveals effect. Unverified against photographed source.",Season 1 cards.jpeg,coordinator+Season 1 rulebook FAQ (rulespal.com transcription)
1,2,eagle,Eagle,market,2,4,,,CANNOT BE FLIPPED,Flip the next revealed card unless it [cannot-be-flipped icon] (its ability does not activate),flip-restriction icon flanks banner,"rulespal.com FAQ: 'If an eagle is placed as the final card of a player's grid, do not reveal or place another card. Ignore any special effect or ability of the card flipped face down.' Same edge-case pattern as Ostrich. Unverified against photographed source.",Season 1 cards.jpeg,coordinator+Season 1 rulebook FAQ (rulespal.com transcription)
1,3,donkey,Donkey,market,2,1,+5,IF in the lower row,,"If so, dismiss this card after the Market phase",3-cell grid icon bottom row shaded,"FAQ: ""If a donkey is placed in the upper row of a grid, it is not dismissed.""",Season 1 cards.jpeg,coordinator+Season 1 rulebook FAQ (rulespal.com transcription)
1,4,butterfly,Butterfly,market,3,2,,,"WHEN HIRED, YOU MAY DISMISS A CATERPILLAR FOR 0",,hanger/tag icon flanks banner,rulespal.com FAQ: 'The butterfly's ability may only dismiss a face-up caterpillar in the player's grid.' Unverified against photographed source.,Season 1 cards.jpeg,coordinator+seam crop+Season 1 rulebook FAQ (rulespal.com transcription)
1,5,dog,Dog,market,4,0,+5,IF there is at least one DOG in the market or any other player's grid,,,rulespal.com FAQ: 'Fame generated by the dog is not affected by changes to the market in the Market phase.' Same locked-at-Check-Fame pattern as Capybara/Hippopotamus/Fox in Season 2. Unverified against photographed source.,Season 1 cards.jpeg,coordinator (seam crop, corrects subagent)+Season 1 rulebook FAQ (rulespal.com transcription)
1,6,goat,Goat,market,2,1,+3,IF in the upper row,,,3-cell grid icon top row shaded,"rulespal.com FAQ: 'If a monkey creates a new row above the upper row, the goat's ability still activates.' i.e. the Season 2 FAQ's 'extra row is not the upper row' rule for triggering Monkey/Gorilla does NOT apply here - Goat's own upper-row bonus stays active regardless of an extra row existing. Unverified against photographed source.",Season 1 cards.jpeg,coordinator+Season 1 rulebook FAQ (rulespal.com transcription)
1,7,sheep,Sheep,market,2,1,+4,IF in the middle column,,,grid icon middle column shaded (exact cell count uncertain),subagent uncertain on exact grid shape,Season 1 cards.jpeg,subagent
1,8,camel,Camel,market,5,2,+2,IF no other player or the market has more CAMELS than you,,,,"rulespal.com FAQ: 'If there is a tie for most camels in the players' grids and/or the market, all tied players' camels generate four fame.' i.e. the condition reads as 'no other player/market has STRICTLY MORE camels than you' - ties still qualify. Unverified against photographed source.",Season 1 cards.jpeg,subagent+Season 1 rulebook FAQ (rulespal.com transcription)
1,9,rabbit,Rabbit,market,4,3,,,CANNOT BE FLIPPED,Stack this card on the first RABBIT or face-down card in your grid,,,Season 1 cards.jpeg,subagent
1,10,horse,Horse,market,2,4,,,"WHEN HIRED, DISCARD ANY NUMBER OF CARDS IN THE MARKET AND REFILL",,,"rulespal.com FAQ gives more precise wording: 'If a player hires a horse, immediately discard any number of cards in the market, reveal an equal number of new cards from the deck, and arrange them by rank.' (refill count = number discarded, not a full 5/7-slot refill). Unverified against photographed source.",Season 1 cards.jpeg,subagent+Season 1 rulebook FAQ (rulespal.com transcription)
1,11,snake,Snake,market,2,1,,,,Dismiss the top card of your deck and stack the top card from the toon deck on this card,,"FAQ: ""If the card on top of the player's deck cannot be dismissed, place it to the right of the snake instead, or return it to the player's deck if the snake is in the final space of the player's grid. If the player places a card with a 'When Hired' ability due to the snake's ability, resolve it after the Flip phase is complete. If the stacked card is a peacock, add the fame to the player's total and take an additional action in the Market phase. If it is a rabbit or turkey, stack it on the snake. If a player's deck is depleted before revealing the snake, you still stack a card from the deck on the snake, even though no card is dismissed.""",Season 1 cards.jpeg,subagent+Season 1 rulebook FAQ (rulespal.com transcription)
1,12,elephant,Elephant,market,2,7,,,CANNOT BE FLIPPED,Flip the previous placed card unless it [cannot-be-flipped icon],,"rulespal.com FAQ: 'If an elephant is the first card placed in a player's grid, ignore its ability. The elephant flips the last placed card, even if that card has moved to a new position.' Matches the Season 2 rulebook's general 'Previous Placed Card' glossary entry. Unverified against photographed source.",Season 1 cards.jpeg,subagent+Season 1 rulebook FAQ (rulespal.com transcription)
1,13,rooster,Rooster,market,2,0,+1,PER card rank 13 or lower (including this card),,,,Season 1 cards.jpeg,coordinator (seam crop, corrects subagent)
1,14,cat,Cat,market,2,1,+1,PER STARTING card in your dismissed cards,CANNOT BE DISMISSED,,,,Season 1 cards.jpeg,subagent
